doc_id,source_language,target_language,source_segment,pe_segment,translation_direction
en_de_#CLIENT-01#_default_2020-12-20-14,de,en,Anschrift: An der #ADDRESS#,Address: An der #ADDRESS#,customer
en_de_#CLIENT-01#_default_2020-12-20-14,de,en,E-Mail vom Konto: #EMAIL#,Account email address: #EMAIL#,customer
en_de_#CLIENT-01#_default_2020-12-20-14,en,de,Thank you please allow me a moment to retrieve your order details,"Vielen Dank, bitte erlauben Sie mir einen Moment, um Ihre Bestelldaten aufzurufen",agent
en_de_#CLIENT-01#_default_2020-12-20-14,en,de,"I can see your #PRS_ORG# (Récamiere links), Felsengrau was originally scheduled to dispatch on 15 January and this has been pushed back to 27 January.","Ich kann sehen, dass Ihr #PRS_ORG# (Récamiere-Links), Felsengrau ursprünglich am 15. Januar versandt werden sollte und dies auf den 27. Januar verschoben wurde.",agent
en_de_#CLIENT-01#_default_2020-12-20-14,en,de,I'm very sorry for the delay to this item.,Ich bedauere die Verzögerung bei diesem Artikel.,agent
en_de_#CLIENT-01#_default_2020-12-20-14,de,en,"okay alles klar, dann setzt sich die Spedition kurz vor dem 27 mit mir in Verbindung?","Alright, then the courier will get in touch with me shortly before January 27?",customer
en_de_#CLIENT-01#_default_2020-12-20-14,en,de,27 January is the date your order will leave our warehouse.,"Der 27. Januar ist das Datum, an dem Ihre Bestellung unser Lager verlässt.",agent
en_de_#CLIENT-01#_default_2020-12-20-14,en,de,The forwarding company #PRS_ORG# will contact you once they have received the goods from us.,"Die Spedition #PRS_ORG# wird Sie kontaktieren, sobald sie die Ware von uns erhalten hat.",agent
en_de_#CLIENT-01#_default_2020-12-20-14,de,en,"achso ok, vielen Dank","Alright, thank you so much.",customer
en_de_#CLIENT-01#_default_2020-12-20-14,en,de,You're very welcome.,Gern geschehen.,agent
en_de_#CLIENT-01#_default_2020-12-20-14,en,de,Is there anything else i can help you with today please?,Kann ich Ihnen heute noch anderweitig helfen?,agent
en_de_#CLIENT-01#_default_2020-12-20-14,en,de,"Thank you for taking the time to talk with me today and I hope I have managed to resolve your query, if you wouldn't mind rating our chat today based on my customer service skills I would really appreciate it, the rating button can be found on this chat.","Vielen Dank, dass Sie sich die Zeit genommen haben, heute mit mir zu sprechen. Ich hoffe, ich habe es geschafft, Ihre Anfrage zu lösen. Wenn es Ihnen nichts ausmacht, unseren heutigen Chat anhand meiner Kundenservice Fähigkeiten zu bewerten, würde ich es wirklich zu schätzen wissen. Die Bewertungsschaltfläche finden Sie in diesem Chat.",agent
en_de_#CLIENT-01#_default_2020-12-20-14,en,de,I hope you have a great day and please come back to us if you need any further assistance.,"Ich hoffe, Sie haben einen schönen Tag und bitte melden Sie sich wieder bei uns, wenn Sie weitere Hilfe benötigen.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,"Sehr geehrte Damen und Herren,","Dear Sir or Madam,",customer
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,"Ich habe bereits vor über einer Woche eine Beschwerde eingereicht, da die bestellten Tassen nach wenigen Monaten erhebliche Mängel aufzeigen bzw. nicht mehr nutzbar sind, da die Henkel abbrechen (Request: #NUMBER#).","I filed a complaint more than a week ago, as the cups ordered show significant defects after a few months and they are no longer usable, as the handles are breaking off (Request: #NUMBER#).",customer
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,"Nach einer Rückfrage ihrerseits und nochmaliger Darlegung des Sachverhaltes wurde die Beschwerde einfach geschlossen, ohne das Problem zu lösen.","Following n inquiry from your part, and a further explanation of the facts, the complaint was simply closed without the problem having been solved.",customer
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Ich bitte um Rückmeldung und entsprechende Erstattung des Kaufpreises bzw. Ersatzlieferung.,I kindly ask for your feedback as well as reimbursement of the purchase price or a replacement.,customer
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Mit freundlichen Grüßen,"Yours sincerely,",customer
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,#NAME#,#NAME#,customer
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,Good Morning #NAME#,Guten Morgen #NAME#,agent
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,"Thanks for contacting #PRS_ORG#, you are through to #NAME#.","Vielen Dank für Ihre Kontaktaufnahme mit #PRS_ORG#, mein Name ist #NAME#.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,"So that I can assist you can you please provide your account details (Full Name, E-mail address, Postal Address and Order Number)","Damit ich Ihnen weiterhelfen kann, geben Sie bitte Ihre Kontodaten an (vollständiger Name, E-Mail-Adresse, Postanschrift und Bestellnummer).",agent
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,"#ADDRESS#, #EMAIL#, Bestellnummer: #ALPHANUMERIC_ID#","#ADDRESS#, #EMAIL#, Order number: #ALPHANUMERIC_ID#",customer
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,"Thank you, a few moments please as I look in to this for you now.","Vielen Dank, einen Moment bitte, während ich mir das jetzt für Sie anschaue.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Ja richtig,"Yes, correct.",customer
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,I am sorry to say that this is currently out of stock so we cannot offer a replacement as we normally would.,"Es tut mir leid Ihnen mitteilen zu müssen, dass dies derzeit nicht vorrätig ist, sodass wir keinen Ersatz anbieten können, was wir normalerweise tun würden.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,The only thing we can offer at this stage it to collect and refund for your costs.,"Das Einzige, was wir zu diesem Zeitpunkt anbieten können, ist, Ihre Kosten zu erstatten.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Kein Problem.,No problem.,customer
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Ist es möglich das Geld für 2 Tassen zu erstatten?,Is it possible to refund the money for 2 cups?,customer
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Dann würde ich mich dafür entscheiden.,Then I would decide to do so.,customer
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Oder ist es nur für das gesamte set möglich?,Or is it only possible for the entire set?,customer
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,It would be for the entire set.,Es wäre für das gesamte Set.,agent
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,I can look in to compensation if you wanted to keep the remaining ones with you though.,"Ich kann jedoch eine Entschädigung beantragen, wenn Sie die verbleibenden behalten möchten.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,Please bear with me,Bitte haben Sie einen Moment Geduld,agent
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Ich würde die verbleibenden gerne behalten.,I would like to keep the remaining ones.,customer
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,"We can offer a 10 Euro Refund if you wanted to keep these with you, otherwise it would be return the whole set for a full refund.","Wir können einen eine Rückerstattung von 10 Euro anbieten, wenn Sie diese behalten möchten, ansonsten müssten Sie das gesamte Set gegen eine volle Rückerstattung zurückgeben.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,Please let me know how I can assist you further with this.,"Bitte lassen Sie mich wissen, wie ich Ihnen dabei weiterhelfen kann.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Ich nehme die 10 Euro Rückerstattung,I will accept the EUR10 refund.,customer
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,In welcher Form wird diese erstattet?,How will I be refunded?,customer
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,It would be cash refund to the account you used when purchasing.,"Es wäre eine Rückerstattung auf das Konto, das Sie beim Kauf verwendet haben.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,"Ok super, vielen Dank","Ok great, thank you so much.",customer
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,You are very welcome.,Sehr gern geschehen!,agent
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,I shall put in for this with our Finance Team and you will receive an email notification once this is done.,"Ich werde dies unserem Finanzteam mitteilen und Sie erhalten eine E-Mail-Benachrichtigung, sobald dies erledigt ist.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,Is there anything else I can help you with today please?,Kann ich Ihnen heute noch mit etwas anderem helfen?,agent
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Das ist alles.,That's all.,customer
en_de_#CLIENT-01#_default_2020-12-27-8,de,en,Vielen Dank für die Unterstützung,Thank you for your support.,customer
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,I hope you are keeping well and wish you a very Happy New Year.,Bleiben Sie gesund. Ich wünsche Ihnen ein frohes neues Jahr.,agent
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,"Thank you for taking the time to talk with me today and I hope I have managed to resolve your query, if you wouldn't mind rating our chat today based on my customer service skills I would really appreciate it, the rating button can be found on this chat.","Vielen Dank, dass Sie sich die Zeit genommen haben, heute mit mir zu sprechen. Ich hoffe, ich war in der Lage, Ihre Anfrage zu lösen. Wenn es Ihnen nichts ausmacht, unseren heutigen Chat anhand meiner Kundenservice Fähigkeiten zu bewerten, würde ich es wirklich zu schätzen wissen. Die Bewertungsschaltfläche finden Sie in diesem Chat.",agent
en_de_#CLIENT-01#_default_2020-12-27-8,en,de,I hope you have a great day and please come back to us if you need any further assistance.,"Ich hoffe, Sie haben einen schönen Tag und bitte kommen Sie zu uns zurück, wenn Sie weitere Hilfe benötigen.",agent
en_de_#CLIENT-01#_default_2020-12-27-70,de,en,hallo?,Hello?,customer
en_de_#CLIENT-01#_default_2020-12-27-70,de,en,"Ist beim #PRS_ORG# Polsterbett (140 x #NUMBER# cm), Samt in Nachtgrau ein Lattenrost dabei?","Is the slatted frame included in the order for the bed #PRS_ORG# upholstered bed (140 x #NUMBER# cm), velvet in night grey?",customer
en_de_#CLIENT-01#_default_2020-12-27-70,en,de,"Hello #NAME#, thank you for contacting #PRS_ORG#.","Hallo #NAME#, danke, dass Sie #PRS_ORG# kontaktiert haben.",agent
en_de_#CLIENT-01#_default_2020-12-27-70,en,de,You are through to #PRS_ORG#.,Sie haben #PRS_ORG# erreicht.,agent
en_de_#CLIENT-01#_default_2020-12-27-70,en,de,How can I help today?,Wie kann ich Ihnen heute behilflich sein?,agent
en_de_#CLIENT-01#_default_2020-12-27-70,de,en,sehen sie meine Frage?,Do you see my question?,customer
en_de_#CLIENT-01#_default_2020-12-27-70,de,en,"Ist beim Bett #PRS_ORG# Polsterbett (140 x #NUMBER# cm), Samt in Nachtgrau ein Lattenrost dabei?","Is the slatted frame included in the order for the bed #PRS_ORG# upholstered bed (140 x #NUMBER# cm), velvet in night grey?",customer
en_de_#CLIENT-01#_default_2020-12-27-70,en,de,"The bed slats are included, yes","Die Latten sind enthalten, ja",agent
en_de_#CLIENT-01#_default_2020-12-27-70,de,en,sie meinen den Lattenrost?,You mean the slatted frame?,customer
en_de_#CLIENT-01#_default_2020-12-27-70,de,en,Bettlattenschirme kenne ich nicht?,I don't know what bed umbrellas are?,customer
en_de_#CLIENT-01#_default_2020-12-27-70,de,en,perfekt:) thanks,Perfect:) thanks!,customer
en_de_#CLIENT-01#_default_2020-12-27-70,de,en,have a nice day,Have a nice day.,customer
en_de_#CLIENT-01#_default_2020-12-27-70,en,de,Thank you for chatting today.,Vielen Dank für das heutige Gespräch.,agent
en_de_#CLIENT-01#_default_2020-12-27-70,en,de,I'm going to end the chat now but just click the button if you have any other queries.,"Ich werde den Chat jetzt beenden, aber klicken Sie einfach auf die Schaltfläche, wenn Sie weitere Fragen haben.",agent
en_de_#CLIENT-01#_default_2020-12-27-70,en,de,You will shortly be receiving an email to rate our chat today.,"Sie erhalten in Kürze eine E-Mail, um unseren Chat heute zu bewerten.",agent
en_de_#CLIENT-01#_default_2020-12-27-70,en,de,If you have a moment may I ask that you do fill this in please or alternatively thank you again and have a wonderful day.,"Wenn Sie einen Moment Zeit haben, möchte ich Sie bitten, dies auszufüllen, ansonsten bedanke ich mich recht herzlich und wünsche Ihnen noch einen schönen Tag.",agent
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,Hallo!,"Hello,",customer
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,"Am 08.12. hatte ich das schöne #PRS_ORG# Ecksofa (Recamiere rechts, Samt in Stahlblau) für #NUMBER#,- Euro bestellt.","On December 8 I ordered the beautiful #PRS_ORG# corner couch (recamiere right, velvet in steel blue) for #NUMBER# Euro.",customer
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,"Nun entdecke ich in Eurem Extra Sale dieses schöne Stück für sagenhafte 799,- Euro.","Now I saw this beautiful sofa for just 799,00 Euro.",customer
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,Könnt Ihr mir diesen Rabatt nun auch noch gewähren?,Can you now grant me this discount?,customer
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,PS: Bestellnummer ist die #NUMBER#,Note: Order number is #NUMBER#.,customer
en_de_#CLIENT-01#_default_2020-12-27-62,en,de,Good Morning,Guten Morgen!,agent
en_de_#CLIENT-01#_default_2020-12-27-62,en,de,"Thanks for contacting #PRS_ORG#, you are through to #NAME#.","Vielen Dank, dass Sie sich mit #PRS_ORG# in Verbindung gesetzt haben. Mein Name ist #NAME#",agent
en_de_#CLIENT-01#_default_2020-12-27-62,en,de,"So that I can assist you can you please provide your account details (Full Name, E-mail address, Postal Address and Order Number)","Damit ich Ihnen weiterhelfen kann, geben Sie bitte Ihre Kontodaten an (vollständiger Name, E-Mail-Adresse, Postanschrift und Bestellnummer).",agent
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,"#ADDRESS#, #EMAIL#, #ADDRESS# Bestellnummer: #NUMBER#","#ADDRESS#, #EMAIL#, #ADDRESS#, Order number: #NUMBER#",customer
en_de_#CLIENT-01#_default_2020-12-27-62,en,de,Thank you,Vielen Dank,agent
en_de_#CLIENT-01#_default_2020-12-27-62,en,de,"so the #PRS_ORG# Ecksofa (Récamiere rechts), Samt in Stahlblau - leave this with me and I will have this refunded back to you","Das #PRS_ORG# Ecksofa (Récamiere rechts), Samt in Stahlblau, überlassen Sie es mir und ich werde sicherstellen, dass Ihnen dies zurückerstattet wird.",agent
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,Das verstehe ich nun leider nicht ganz...,"Unfortunately, I don't quite understand that.",customer
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,"Die Bestellung bleibt aufrecht erhalten und ich bekommen die Differenz von 300,- Euro zurückerstattet?","The order will be executed and I will receive the difference of 300,00 Euro refunded?",customer
en_de_#CLIENT-01#_default_2020-12-27-62,en,de,"Yes, I will have this refunded back to you","Ja, ich werde Ihnen dies zurückerstatten lassen",agent
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,Oh wow!!!,Oh wow!!!,customer
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,Das ist ja fantastisch!,That's fantastic!,customer
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,Dann freue ich mich umso mehr auf das Sofa!,Then I'm all the more looking forward to the couch!,customer
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,:-)))),:-)))),customer
en_de_#CLIENT-01#_default_2020-12-27-62,en,de,:-) Brilliant!,Prima!,agent
en_de_#CLIENT-01#_default_2020-12-27-62,en,de,I will email you as soon as I have this done for you,"Ich werde Ihnen eine E-Mail senden, sobald ich dies für Sie erledigt habe",agent
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,"Super, tausend Dank!","Great, a thousand thanks!",customer
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,Ich bin begeistert von der Kulanz!,Thanks for the goodwill gesture!,customer
en_de_#CLIENT-01#_default_2020-12-27-62,en,de,You are very welcome indeed,Gern geschehen.,agent
en_de_#CLIENT-01#_default_2020-12-27-62,en,de,Have a great day,Ich wünsche ihnen einen schönen Tag!,agent
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,Danke!,Thank you!,customer
en_de_#CLIENT-01#_default_2020-12-27-62,de,en,Ebenfalls!,Same!,customer
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Hallo ich kann nicht bestellen weil ich als Land kein Deutschland eingeben kann?,"Hello, I can't order because I can't enter Germany as a country.",customer
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,"Good Morning #NAME#, thank you for your email, I hope you are well.","Guten Morgen #NAME#, vielen Dank für Ihre E-Mail. Ich hoffe, es geht Ihnen gut.",agent
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,Are you on the Germany #PRS_ORG# site?,Sind Sie auf der deutschen #PRS_ORG#-Website?,agent
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Ich glaube nicht ich bin auf #URL#,"I don't think so, I'm on #URL#",customer
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,🙄,🙄,customer
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Und danke ich hoffe es geht Ihnen auch gut,"And thank you, I hope you are well too.",customer
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,"Okay, If you go up to the top right hand corner, there should be  flag?","Okay, in der Ecke oben rechts sollte es eine Flagge geben?",agent
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,"You should be able to click on this and select the German website, you will then be able to order through that to an address in Germany, Please do let me know if that works","Sie sollten darauf klicken und die deutsche Website auswählen können. Sie können darüber dann an eine Adresse in Deutschland bestellen. Bitte lassen Sie mich wissen, ob das funktioniert",agent
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Einen Moment ich schaue mal,"One moment, I will check.",customer
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Ich habe mich eine Frage,I have a question.,customer
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Noch eine Frage,One more question.,customer
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,Of course,Na sicher,agent
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Die Maße sind 168cm x 228cm,The measurements are 168cm x 228cm,customer
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Ist es insgesamt #NUMBER# breit,It is a total of #NUMBER# wide?,customer
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Oder eine Seite #NUMBER# cm breit?,Or is one side #NUMBER# cm wide?,customer
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,"the dimensions refer to the sperate panels, so one side of the curtain is 168cm.","Die Abmessungen beziehen sich auf die einzelnen Panele, eine Seite des Vorhangs hat also 168 cm.",agent
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,Together as a pair it would be double this.,Zusammen als Paar wäre es das Doppelte.,agent
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Okey super danke :),"Okay great, thank you. :)",customer
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,"You're welcome,",Bitte!,agent
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,Is there anything else I can help you with today please?,Kann ich Ihnen heute noch bei etwas anderem helfen?,agent
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Nein das wars schon :),"No, that's all. :)",customer
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Oder doch 🙄,Or yes 🙄,customer
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Wieso kann ich meinen Code nicht benutzen?,Why can't I use my code?,customer
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,#ALPHANUMERIC_ID#,#ALPHANUMERIC_ID#,customer
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,Please bear with me a moment,Bitte geben Sie mir einen Moment Zeit,agent
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,OK :),OK.,customer
en_de_#CLIENT-01#_default_2021-01-03-78,en,de,"The #ALPHANUMERIC_ID# is for the UK website, The voucher for the Germany one is differnet, I do apologise as you may need to resign for the newseltter on the German site.","Das #ALPHANUMERIC_ID# gilt für die britische Website. Der Gutschein für Deutschland ist ein anderer. Ich entschuldige mich, da Sie sich möglicherweise für den Newsletter auf der deutschen Seite neu anmelden müssen.",agent
en_de_#CLIENT-01#_default_2021-01-03-78,de,en,Was soll ich jetzt machen?,What should I do now?,customer
en_de_#CLIENT-01#_default_2021-01-03-9,de,en,"Guten Tag,","Hello,",customer
en_de_#CLIENT-01#_default_2021-01-03-9,de,en,Ich möchte meine Bestellung #NUMBER# stornieren.,I would like to cancel my order #NUMBER#.,customer
en_de_#CLIENT-01#_default_2021-01-03-9,de,en,Ich bitte um eine schriftliche Bestätigung.,I ask for a written confirmation.,customer
en_de_#CLIENT-01#_default_2021-01-03-9,de,en,Vielen Dank und Mit freundlichen Grüßen,"Thank you very much and sincerely,",customer
en_de_#CLIENT-01#_default_2021-01-03-9,de,en,#NAME#,#NAME#,customer
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Good Morning,"Guten Morgen,",agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,"Thanks for contacting #PRS_ORG#, you are through to #NAME#","vielen Dank, dass Sie sich mit #PRS_ORG# in Verbindung gesetzt haben. Sie sind bei #NAME#",agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,"So that I can assist you can you please provide your account details (Full Name, E-mail address, Postal Address and Order Number)","Damit ich Ihnen weiterhelfen kann, geben Sie bitte Ihre Kontodaten an (vollständiger Name, E-Mail-Adresse, Postanschrift und Bestellnummer).",agent
en_de_#CLIENT-01#_default_2021-01-03-9,de,en,"#ADDRESS#, #EMAIL#, Bestellnummer #NUMBER#","#ADDRESS#, #EMAIL#, order number #NUMBER#",customer
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Thank you - one moment please,Danke. Einen Moment bitte.,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,So you would like to cancel the,Sie möchten also das Produkt stornieren,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Product,stornieren,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Group delivery,Gruppenlieferung,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Status,Status,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Dispatch Date,Versanddatum,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Delay,Verzögerung,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,On Hold Date,Datum Zurückstellung,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Original Price,Ursprünglicher Preis,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Price	Qty	Subtotal,Preis Menge Teilsumme,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Tax Amount,Steuerbetrag,agent
en_de_#CLIENT-01#_default_2021-01-03-9,en,de,Tax Rate,Steuersatz,agent
